Density,Energy,s,dsdrho_e,dsde_rho,d2sdrho2,d2sdedrho,d2sde2,T,p,c2,dTdrho_e,dTde_rho,dpdrho_e,dpde_rho,dhdrho_e,dhde_rho,dhdrho_p,dhdp_rho,dsdp_rho,dsdrho_p,cp
25.749948352325305,692408.6973936931,1476.0178479351878,-1.8536611635068105,0.001565602980145465,0.07679292572563148,-2.8874758335569535e-07,-1.084521758365934e-09,638.7315383796005,785057.4445432584,29385.79293563878,0.1178026552447154,0.00044246099420611727,28597.120341250673,0.6661131971914146,-73.4218388494135,1.025868525562742,-44115.3141230956,1.5400813703859826,0.0023503557454598407,-69.0670672611718,2336.9092088678235
25.749948352325305,709453.922826783,1502.5478990125291,-1.8584901851035438,0.0015473876666436332,0.076802365388397,-2.779740221168914e-07,-1.0530230148545633e-09,646.2504655792261,796368.1187424805,29880.954936471928,0.11609297727028015,0.0004397841783833516,29086.99549657413,0.6610543628158585,-71.45582361140124,1.025672065581295,-45201.96313233544,1.551569921136733,0.0023407873144536966,-69.94496025905606,2350.0080073931385
25.749948352325305,726499.1482604428,1528.7719695928015,-1.8631409910274275,0.001529696620275574,0.07681141304609988,-2.6782854827461725e-07,-1.0229907317847385e-09,653.7243965537758,807594.1015415861,30371.935673975564,0.11445802636940931,0.0004371808043189688,29572.7280066357,0.656174317196433,-69.522959983776,1.0254825488664399,-46286.382868111235,1.5628203085544574,0.002331235130950184,-70.80412343813099,2362.9266386132012
25.749948352325305,743544.3736931628,1554.6987875032285,-1.8676238844945356,0.0015125056504228707,0.07682009226740717,-2.582646166640411e-07,-9.943316787582605e-10,661.1545548411123,818738.3590680786,30858.899044942034,0.11289400976054868,0.00043464757850658864,30054.479579242216,0.6514636042526369,-67.62144143223843,1.0252996081910126,-47368.56954632724,1.5738401984363233,0.0023217039916727604,-71.64522909126866,2375.6692308398565
25.749948352325305,760589.5991261188,1580.3366814146004,-1.8719484098067312,0.0014957920917601838,0.07682842366413516,-2.49239642932691e-07,-9.66960003711202e-10,668.5421092334049,829803.7008004582,31341.99998383692,0.11139729746446393,0.0004321813733248912,30532.403305001397,0.6469132927880713,-65.74955982045284,1.0251228967117385,-48448.532953711525,1.5846372429505302,0.002312198726530427,-72.46893244954437,2388.240013169336
25.749948352325305,777634.8245591631,1605.6936058004317,-1.876123415969557,0.001479534684093259,0.07683642545558897,-2.407145638982044e-07,-9.40796583738416e-10,675.8881767025662,840792.7882082647,31821.384826249046,0.10996438910698461,0.0004297792369907567,31006.643987520783,0.6425149428790365,-63.90570561662572,1.0249520866639337,-49526.295347561914,1.595219065367164,0.002302724163057799,-73.27587174136448,2400.6431777122166
31.738275308837387,300368.51243259653,743.5588086049837,-1.2726699910912909,0.0022169969755666563,0.04990826599465127,-1.0418561520811334e-06,-2.5913765960786e-09,451.06060631607477,578252.273864172,14693.890204599862,0.2119715420593813,0.0005272302630551587,14034.14460541667,1.1492798669499136,-131.86770501940862,1.036211163201735,-12785.302020121642,0.9016177808384892,0.0019290314216069658,-28.344975910315945,2053.478025148931
31.738275308837387,317413.7378656872,780.9776034047647,-1.2896663686356444,0.0021738813010661836,0.04995209240364755,-9.544024600044642e-07,-2.4690984675114926e-09,460.0067167924709,597596.7044299545,15438.737700787175,0.20195745826139982,0.0005224764935050628,14773.70107031778,1.1209958875107544,-127.76987728907665,1.03532000011351,-13772.341069930164,0.923571630947288,0.0019392411027425185,-29.939434723827024,2060.553954677585
31.738275308837387,334458.963298778,817.6788183809986,-1.3052687722706235,0.0021327753237706925,0.049992038673431625,-8.780066193761296e-07,-2.355440582218416e-09,468.872641602035,616483.5416911108,16160.779839069755,0.19302233966357538,0.0005178237180505401,15490.309346869632,1.095531396643523,-123.94082524120124,1.0345176726203038,-14751.5442173387,0.9443067316827685,0.0019467952541616478,-31.461729494252236,2069.2982674709997
31.738275308837387,351504.1887318701,853.6954938620732,-1.3196517638759169,0.0020935385671536854,0.05002865456018519,-8.110793362765386e-07,-2.2496520573973437e-09,477.6601757853313,634958.0342790749,16862.637143865755,0.18505524780870244,0.0005132789116243511,16186.553055858456,1.072561831558546,-120.34406483399071,1.0337939544956904,-15721.832203708538,0.9638548791107721,0.0019519047812018,-32.91426206478264,2079.308511501519
31.738275308837387,368549.4141649612,889.0583826461418,-1.3329649043613856,0.002056042963887281,0.05006233475695586,-7.522670373916126e-07,-2.1510300573970616e-09,486.3711593406291,653060.1376092968,17546.613531217183,0.17795396182681986,0.0005088410121618961,16864.721962589952,1.0517894036240671,-116.9471159744358,1.0331394631053312,-16682.630069059647,0.9822683700230528,0.0019548047896308304,-34.30020417262448,2090.3029485076786
31.738275308837387,385594.63959805196,923.7961539253486,-1.3453363463783876,0.0020201719324774345,0.05009337611801996,-7.004050080428291e-07,-2.058931172663883e-09,495.00737235451624,670824.9218045437,18214.708986106638,0.17162184913144632,0.0005045046380726983,17526.82225686619,1.032938318269751,-113.72158357965365,1.032545508797138,-17633.878677884313,0.9996197164286915,0.001955752726708187,-35.62346676577418,2102.0800113993146
31.738275308837387,402639.8650311424,957.9355800842329,-1.35687576846814,0.0019858193073992777,0.05012201675624346,-6.544861151459928e-07,-1.9727771119755906e-09,503.57048915474945,688282.9381825408,18868.63605737863,0.16596670800864174,0.0005002632070144831,18174.588806989428,1.0157543248239,-110.64313530656544,1.0320040807176776,-18575.983971960806,1.0159977225758745,0.0019550192983362946,-36.88854762545929,2114.4890541487607
31.738275308837387,419685.0904642337,991.5017047162979,-1.3676768723416415,0.001952888221257159,0.050148461292043846,-6.136400098204165e-07,-1.8920547651484623e-09,512.0620776524815,705460.5994565088,19509.84218972288,0.16090105667033694,0.0004961110848681902,18809.502221709015,1.0000064357805867,-107.69134140761626,1.031507900982324,-19509.716629467348,1.0315012624665238,0.0019528756529779432,-38.1002958057517,2127.4102532313946
31.738275308837387,436730.3158973255,1024.5179918104516,-1.377819582887645,0.0019212900257416026,0.050172895847639024,-5.771183994487163e-07,-1.8163118522597942e-09,520.4836264186653,722380.5946832788,20139.537552309648,0.1563432242886178,0.0004920447027285633,19432.811303057406,0.9854890367956405,-104.84937922713,1.0310504911563745,-20436.084827279476,1.046232330000219,0.001949580313941146,-39.263645943861356,2140.7419076116666
31.738275308837387,453775.5413304171,1057.0064573289537,-1.3873720249909494,0.0018909433122522269,0.0501954958015098,-5.442831566150873e-07,-1.7451498752801002e-09,528.8365830538517,739062.3348230511,20758.72655289519,0.15221865345886867,0.00048806280493980284,20045.559833905998,0.9720232306127602,-102.10363150987418,1.030626214599068,-21356.204151426453,1.0602896948762888,0.001945368436369759,-40.3833714152331,2154.3933801534586
31.738275308837387,470820.76676350745,1088.9877851842577,-1.3963923070095676,0.0018617730636432473,0.05021642877927918,-5.145952938995596e-07,-1.6782160320169603e-09,537.1223912989323,755522.4105239131,21368.24063902914,0.14846098066841087,0.000484166102644765,20648.61576079713,0.9594568857867055,-99.44322137592988,1.0302302779987407,-22271.183786969526,1.0737640151011105,0.0019404447362079105,-41.46389007002806,2168.2819521249867
31.738275308837387,487865.9921965985,1120.4814299330951,-1.4049301166834849,0.001833709943251221,0.05023585483168468,-4.876039035595955e-07,-1.6151953654858502e-09,545.3425192356054,771775.0391695447,21968.770086518434,0.14501265161099405,0.0004803566196025433,21242.7006280693,0.947663353243616,-96.85952871908269,1.0298586909345933,-23182.040343044606,1.0867347433132697,0.001934980325001371,-42.509137881891846,2182.332051579473
31.738275308837387,504911.21762969025,1151.505708449862,-1.41302812675638,0.0018066897098660097,0.05025392524391786,-4.629349091961748e-07,-1.5558039260609598e-09,553.4984754378013,787832.4804666223,22560.892988775173,0.141824999095181,0.0004766369656352068,21828.41739591574,0.9365391185700761,-94.3457262920082,1.0295081919057305,-24089.64296464363,1.0992687560959558,0.001929112915885985,-43.52251005856776,2196.4756381976485
31.738275308837387,521956.44306278054,1182.0778825584134,-1.4207232089699107,0.0017806527380246555,0.050270780958622696,-4.4027989252707663e-07,-1.4997832744564635e-09,561.5918132972616,803705.4057436266,23145.10033509333,0.13885783450224906,0.0004730096950791577,22406.275305971583,0.9260007879934916,-91.89636286472508,1.0291761533663313,-24994.68751559637,1.1114203861493528,0.0019229494846144458,-44.50685876071735,2210.652900123201
31.738275308837387,539001.6684958716,1212.2142342192033,-1.4280474611556089,0.0017555436203963545,0.05028655120496615,-4.1938540667137934e-07,-1.446896327032228e-09,569.624125758964,819403.2130724585,23721.81671429126,0.13607867264347245,0.0004694768308653645,22976.71105044582,0.9159818075139674,-89.50700906624695,1.028860478353054,-25897.694167828253,1.1232324374928868,0.0019165704012845091,-45.464531779306775,2224.812766022481
31.738275308837387,556046.8939289651,1241.9301344838798,-1.4350290591139923,0.001731310830805977,0.050301352625710984,-4.0004316026362567e-07,-1.3969243546538196e-09,577.5970335346831,834934.2865808723,24291.41669625192,0.13346173231443537,0.0004660395747335449,23540.10602537939,0.9064292416383666,-87.17397120267415,1.0285594989903555,-26799.021457367475,1.1347377729465558,0.0019100341772697454,-46.39743610414209,2238.9130112272123
31.738275308837387,573092.1193620533,1271.2401070956103,-1.4416929506103189,0.0017079064304541616,0.050315288985343896,-3.8208134132782265e-07,-1.349664869258066e-09,585.5121698523513,850306.2030357913,24854.237290701152,0.13098684519939488,0.00046269818538164335,24096.799841308428,0.8973008364485643,-84.89407064978467,1.028271883954536,-27698.890139311563,1.145961133864918,0.0019033821892041258,-47.30711258537359,2252.919924900502
31.738275308837387,590137.3447951465,1300.1578873557298,-1.4480614122160504,0.0016852858045096814,0.05032845141447984,-3.6535721094403593e-07,-1.304930131796144e-09,593.371164299898,865525.8917424827,25410.587069860496,0.12863837876228942,0.0004594519870528283,24647.100512272238,0.8885624922967589,-82.66448155837332,1.0279965588441833,-28597.41131338904,1.1569209456354779,0.0018966429701005607,-48.19481133217912,2266.8076126890123
31.738275308837387,607182.570228236,1328.6964766957838,-1.454154490850225,0.0016634074204765366,0.05034091908120649,-3.497509732905027e-07,-1.262546056361143e-09,601.1756276243602,880599.755219187,25960.752602987304,0.12640424606252662,0.0004562994660803711,25191.29186465248,0.8801861906454885,-80.48261721670313,1.0277326408596752,-29494.614751850244,1.1676309532940785,0.0018898358530899803,-49.061561042324435,2280.557054674708
31.738275308837387,624227.7956613279,1356.8681932772165,-1.4599903511633787,0.0016422326031039615,0.05035276015940012,-3.351608380063679e-07,-1.222351341667486e-09,608.9271386464461,895533.7583473189,26505.0028264156,0.12427504464825363,0.00045323841671112374,25729.638732405198,0.8721483627925423,-78.3460548632413,1.0274793874054553,-30390.474782924448,1.1781016066068815,0.0018829738988968316,-49.90822851232732,2294.1550426095023
31.738275308837387,641273.0210944194,1384.6847188740364,-1.465585547956683,0.0016217253230059717,0.050364032970206966,-3.2149913581145317e-07,-1.1841967161645508e-09,616.6272338563698,910333.4931677973,27043.591898809245,0.12224334169930187,0.0004502661055306557,26262.390468086774,0.864428654019848,-76.25248938789285,1.0272361571512096,-31284.932276421638,1.188341168903019,0.0018760661339307424,-50.73556690119982,2307.5931017498992
31.738275308837387,658318.2465275094,1412.1571422592576,-1.4709552402122426,0.0016018519976901467,0.05037478719272799,-3.0868932385950993e-07,-1.1479442287206615e-09,624.2773998109622,925004.2255420077,27576.760995836397,0.1203031046103519,0.0004473794328484254,26789.78322797456,0.8570090204820323,-74.19970765508855,1.0270023815769034,-32177.912176846865,1.1983565598869155,0.0018691191800865418,-51.54425290198024,2320.8664746783556
31.738275308837387,675363.471960602,1439.2959993020565,-1.4761133604802852,0.0015825813045515116,0.050385065064567934,-2.966637153117836e-07,-1.1134665504551553e-09,631.8790681552948,939550.928782543,28104.739400229148,0.11844926478505349,0.00044457507762805313,27312.041405496715,0.8498730925454375,-72.18557672612125,1.0267775449130594,-33069.336641842856,1.2081539631261637,0.0018621383809335047,-52.334913923300775,2333.9732159625064
31.738275308837387,692408.6973936924,1466.1113099788265,-1.481072750638048,0.0015638840057691607,0.050394902516980034,-2.8536177998376085e-07,-1.080646275618581e-09,639.4336129220611,953978.3082566141,28627.74515329822,0.11667739633614507,0.0004418496191280538,27829.37850383617,0.8430057424899202,-70.20804079007267,1.0265611705200373,-33959.13421507982,1.217739238036462,0.0018551285322802652,-53.1081468487316,2346.9134220156307
31.738275308837387,709453.9228267834,1492.6126125011167,-1.4858452725882918,0.0015457327851261741,0.050404330210137224,-2.747288829219485e-07,-1.0493752225828708e-09,646.9423496884506,968290.8199735432,29145.985457758274,0.11498348922598589,0.0004391996331676355,28341.99766376817,0.8363928027626624,-68.26512298532344,1.0263528120108587,-34847.24564999497,1.2271181777518236,0.001848094316474883,-53.86453007254267,2359.68860190338
31.738275308837387,726499.1482607528,1518.8089947634605,-1.49044190038882,0.0015281020966919816,0.050413374450592414,-2.64715350518665e-07,-1.0195537425094726e-09,654.4065361632503,982492.6853330784,29659.656960713175,0.11336379681512758,0.00043662176402496617,28850.092000083063,0.8300208907334843,-66.35492944096666,1.02615204772965,-35733.62705907694,1.2362966513081926,0.0018410405253072694,-54.604630431384784,2372.301182177986
31.738275308837387,743544.3736932897,1544.7091233116275,-1.4948727986134334,0.0015109680251544945,0.0504220579852474,-2.5527577609999486e-07,-9.910900453940356e-10,661.8273738107404,996587.9035434007,30168.945999006544,0.11181473974373711,0.00043411277474652985,29353.844849982095,0.8238773055372929,-64.4756537775116,1.0259584775013872,-36618.251038401664,1.2452806632806894,0.0018339721400252849,-55.32900645610529,2384.7541312615976
31.738275308837387,760589.5991261641,1570.3212700269676,-1.499147390424625,0.0014943081574255899,0.050430400674658385,-2.4636849700154886e-07,-9.638995526704767e-10,669.20601017317,1010580.2627061575,30674.028855312226,0.11033285075202233,0.00043166957942704907,29853.42999912453,0.8179499711686483,-62.62558099042848,1.025771720838936,-37501.1063469892,1.2540763579627758,0.0018268943212878812,-56.03820912679053,2397.0506854200803
31.738275308837387,777634.8245591796,1595.6533367147015,-1.5032744178186392,0.0014781014650005972,0.0504384200539139,-2.3795519221365548e-07,-9.37904283837089e-10,676.5435416164722,1024473.3501894642,31175.07204918203,0.1089147479372736,0.00042928926119706454,30349.011922934562,0.812227407259896,-60.80309014370584,1.025591416022336,-38382.196624407494,1.2626899891032217,0.0018198123478584307,-56.7327810604777,2409.1941574478874
38.33416213003136,317413.73786568624,773.4249835340091,-1.0178866861861708,0.0021676397152200952,0.03396221724016218,-9.381316507041523e-07,-2.4378019836617265e-09,461.33127796953244,690055.9183826783,13939.855938976143,0.19965932081986673,0.0005188289809707299,13276.782183113473,1.4120481452737996,-123.23961442154757,1.0368352421655667,-9872.082609671335,0.7342775426148955,0.001535103262927189,-21.39911833665723,2110.0370482344856
38.33416213003136,334458.9632987793,810.0241589463117,-1.0332241581829995,0.0021270329947908565,0.034002605909820884,-8.631557567598407e-07,-2.3280570788800117e-09,470.1384522238342,713825.8577629137,14709.690132292575,0.19078345869809368,0.0005145708385501602,14040.499996008743,1.3776192594716723,-119.49241254680354,1.03593711673673,-10677.616497561055,0.7519763603871362,0.0015439919122549074,-22.711642596035556,2112.852600037408
